Nonterminal,DISTINTO,NO,ENTRE,RETORNAR,SI,ROMPER,'',LLAVE_CERRAR,BOOLEANO,Y,MAS,MAYOR_IGUAL,DEF,MIENTRAS,PARENTESIS_CERRAR,ENTERO,SINO,IDENTIFICADOR,MENOR_IGUAL,MENOS,O,IMPRIMIR,SINOSI,AT,LLAVE_ABRIR,IGUAL,MENOR,PARENTESIS_ABRIR,IGUAL_IGUAL,COMA,CADENA,FLOTANTE,POR,MAYOR,$
ASIGNACION,,,,,,,,,,,,,,,,,,ASIGNACION -> IDENTIFICADOR INVFUNC,,,,,,,,,,,,,,,,,
CONDICION,,,,,,,,,CONDICION -> EXPRESION CONDICION',,,,,,,CONDICION -> EXPRESION CONDICION',,CONDICION -> EXPRESION CONDICION',,,,,,,,,,CONDICION -> EXPRESION CONDICION',,,CONDICION -> EXPRESION CONDICION',CONDICION -> EXPRESION CONDICION',,,
CONDICIONAL,,,,,CONDICIONAL -> SI PARENTESIS_ABRIR CONDICION PARENTESIS_CERRAR LLAVE_ABRIR INSTRUCCIONES LLAVE_CERRAR CONDICIONAL',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPRIMIR',,,,,,,,,IMPRIMIR' -> EXPRESION MASEXPRESION,,,,,,IMPRIMIR' -> '',IMPRIMIR' -> EXPRESION MASEXPRESION,,IMPRIMIR' -> EXPRESION MASEXPRESION,,,,,,,,,,IMPRIMIR' -> EXPRESION MASEXPRESION,,,IMPRIMIR' -> EXPRESION MASEXPRESION,IMPRIMIR' -> EXPRESION MASEXPRESION,,,
MASEXPRESION,,,,,,,,,,,,,,,MASEXPRESION -> '',,,,,,,,,,,,,,,MASEXPRESION -> COMA EXPRESION MASEXPRESION,,,,,
FACTOR,FACTOR -> INVOCARFUNC,FACTOR -> INVOCARFUNC,FACTOR -> INVOCARFUNC,,,,,,FACTOR -> BOOLEANO,FACTOR -> INVOCARFUNC,FACTOR -> INVOCARFUNC,FACTOR -> INVOCARFUNC,,,FACTOR -> INVOCARFUNC,FACTOR -> ENTERO,,FACTOR -> IDENTIFICADOR INVOCARFUNC,FACTOR -> INVOCARFUNC,FACTOR -> INVOCARFUNC,FACTOR -> INVOCARFUNC,,,FACTOR -> INVOCARFUNC,,,FACTOR -> INVOCARFUNC,FACTOR -> INVOCARFUNC,FACTOR -> INVOCARFUNC,FACTOR -> INVOCARFUNC,FACTOR -> CADENA,FACTOR -> FLOTANTE,FACTOR -> INVOCARFUNC,FACTOR -> INVOCARFUNC,
EXPRESION',EXPRESION' -> COMPARACION FACTOR,EXPRESION' -> '',EXPRESION' -> OPERADOR FACTOR,,,,,,,EXPRESION' -> '',EXPRESION' -> OPERADOR FACTOR,EXPRESION' -> COMPARACION FACTOR,,,EXPRESION' -> '',,,,EXPRESION' -> COMPARACION FACTOR,EXPRESION' -> OPERADOR FACTOR,EXPRESION' -> '',,,EXPRESION' -> '',,,EXPRESION' -> COMPARACION FACTOR,,EXPRESION' -> COMPARACION FACTOR,EXPRESION' -> '',,,EXPRESION' -> OPERADOR FACTOR,EXPRESION' -> COMPARACION FACTOR,
OPERADORLOG,,OPERADORLOG -> NO,,,,,,,,OPERADORLOG -> Y,,,,,,,,,,,OPERADORLOG -> O,,,,,,,,,,,,,,
INSTRUCCION,,,,INSTRUCCION -> RETORNAR EXPRESION AT,INSTRUCCION -> CONDICIONAL,INSTRUCCION -> ROMPER AT,,,,,,,INSTRUCCION -> FUNCION,INSTRUCCION -> Mientras,,,,INSTRUCCION -> ASIGNACION AT,,,,INSTRUCCION -> Imprimir AT,,,,,,,,,,,,,
INVOCARFUNC,INVOCARFUNC -> '',INVOCARFUNC -> '',INVOCARFUNC -> '',,,,,,,INVOCARFUNC -> '',INVOCARFUNC -> '',INVOCARFUNC -> '',,,INVOCARFUNC -> '',,,,INVOCARFUNC -> '',INVOCARFUNC -> '',INVOCARFUNC -> '',,,INVOCARFUNC -> '',,,INVOCARFUNC -> '',INVOCARFUNC -> PARENTESIS_ABRIR PARAMETROS PARENTESIS_CERRAR,INVOCARFUNC -> '',INVOCARFUNC -> '',,,INVOCARFUNC -> '',INVOCARFUNC -> '',
OPERADOR,,,OPERADOR -> ENTRE,,,,,,,,OPERADOR -> MAS,,,,,,,,,OPERADOR -> MENOS,,,,,,,,,,,,,OPERADOR -> POR,,
CONDICIONAL',,,,CONDICIONAL' -> '',CONDICIONAL' -> '',CONDICIONAL' -> '',,CONDICIONAL' -> '',,,,,CONDICIONAL' -> '',CONDICIONAL' -> '',,,CONDICIONAL' -> SINO LLAVE_ABRIR INSTRUCCIONES LLAVE_CERRAR,CONDICIONAL' -> '',,,,CONDICIONAL' -> '',CONDICIONAL' -> SINOSI PARENTESIS_ABRIR CONDICION PARENTESIS_CERRAR LLAVE_ABRIR INSTRUCCIONES LLAVE_CERRAR CONDICIONAL',,,,,,,,,,,,CONDICIONAL' -> ''
CONDICION',,CONDICION' -> OPERADORLOG EXPRESION CONDICION',,,,,,,,CONDICION' -> OPERADORLOG EXPRESION CONDICION',,,,,CONDICION' -> '',,,,,,CONDICION' -> OPERADORLOG EXPRESION CONDICION',,,,,,,,,,,,,,
