Stack,Input,Rule
$ INSTRUCCIONES,IDENTIFICADOR:x IGUAL:= ENTERO:220 AT:@ DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,PROGRAMA -> INSTRUCCIONES
$ INSTRUCCIONES INSTRUCCION,IDENTIFICADOR:x IGUAL:= ENTERO:220 AT:@ DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,INSTRUCCIONES -> INSTRUCCION INSTRUCCIONES
$ INSTRUCCIONES AT ASIGNACION,IDENTIFICADOR:x IGUAL:= ENTERO:220 AT:@ DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,INSTRUCCION -> ASIGNACION AT
$ INSTRUCCIONES AT INVFUNC IDENTIFICADOR,IDENTIFICADOR:x IGUAL:= ENTERO:220 AT:@ DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,ASIGNACION -> IDENTIFICADOR INVFUNC
$ INSTRUCCIONES AT INVFUNC,IGUAL:= ENTERO:220 AT:@ DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES AT EXPRESION IGUAL,IGUAL:= ENTERO:220 AT:@ DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,INVFUNC -> IGUAL EXPRESION
$ INSTRUCCIONES AT EXPRESION,ENTERO:220 AT:@ DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES AT EXPRESION' FACTOR,ENTERO:220 AT:@ DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,EXPRESION -> FACTOR EXPRESION'
$ INSTRUCCIONES AT EXPRESION' ENTERO,ENTERO:220 AT:@ DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,FACTOR -> ENTERO
$ INSTRUCCIONES AT EXPRESION',AT:@ DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES AT,AT:@ DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,EXPRESION' -> ''
$ INSTRUCCIONES,DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES INSTRUCCION,DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,INSTRUCCIONES -> INSTRUCCION INSTRUCCIONES
$ INSTRUCCIONES FUNCION,DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,INSTRUCCION -> FUNCION
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS PARENTESIS_ABRIR IDENTIFICADOR DEF,DEF:def IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,FUNCION -> DEF IDENTIFICADOR PARENTESIS_ABRIR PARAMETROS PARENTESIS_CERRAR LLAVE_ABRIR INSTRUCCIONES LLAVE_CERRAR
